mass, radius
0.3240462240317415, 15393.74554016267
0.3410205950546735, 15271.358106559715
0.36209495570631656, 15107.621032334264
0.38356680413836153, 15030.331564650805
0.4003414751295131, 14997.649514887416
0.42127622522800234, 14838.55561136564
0.4468772840486321, 14796.507244750295
0.48618603198072974, 14660.951237166691
0.5129021298587194, 14503.366557273084
0.5421765397526028, 14410.581920111475
0.5720091772927061, 14351.17411737265
0.6058335115901413, 14223.137768621353
0.6404097198618466, 14175.749109536675
0.6769565695592881, 14175.749109536675
0.715589071896567, 14175.749109536675
0.7564275254266127, 14155.74762232071
0.7995952697961666, 14155.74762232071
0.8452265074830801, 14155.74762232071
0.8934618249232049, 14155.74762232071
0.9444498315276555, 14155.74762232071
0.9983460881089529, 14173.929625295305
1.05531541786296, 14221.312201955852
1.115534090760447, 14285.34666762564
1.1791889766651102, 14349.669462018894
1.246482073252445, 14357.039055612146
1.3176107605787988, 14406.882906559833
1.392796809439808, 14469.895466677024
1.4722745089219607, 14521.995050866044
1.5562865212385135, 14581.767170718647
1.645088456531458, 14671.88695493355
1.7389553119595687, 14777.730890050472
1.838178947013974, 14878.607826655141
1.94306362143883, 14984.019585252829
2.0539297442310964, 15109.689671249786
2.171120976846531, 15240.064911959005
2.2925319130344577, 15298.658827986741
2.425968287996409, 15378.54989392628
2.5643925431225925, 15482.941424533588
2.7107124517746786, 15601.293310256415
2.8653829331812646, 15712.250841771116
3.0288805630222266, 15816.08128879936
3.2017024271359196, 15940.92852589132
3.3915101895217026, 16055.740467815735
3.577496739236964, 16173.373040345161
3.766825710980511, 16247.43040824575
3.997403859252843, 16393.40231199464
4.225497509875497, 16490.778026348737
4.46660098781046, 16605.22792184094
4.72145607987461, 16736.965583625763
4.990860316356947, 16848.13727949304
5.275631861291456, 16972.928986321032
5.570590609226619, 17190.27599910822
7.264412658950548, 18012.153798616608
7.662791620195346, 18130.518482547515
8.100030360211369, 18244.95701314799
8.562182543386529, 18423.81431031646
9.050708647984605, 18594.87515112172
9.56708770553516, 18801.280600149956
10.112960784168056, 18958.803590835934
10.689979957322889, 19117.64635825006
11.299863482560275, 19362.136935121573
11.944547503145955, 19602.204359862135
12.62605644220074, 19787.169254566666
14.072489346213086, 20056.07912626064
15.019845355328346, 20372.20476014799
16.74740888094636, 20794.482512559982
17.70299522193416, 20946.031552108292
18.713003338091617, 21196.018284703787
19.780727606053006, 21365.376162555003
20.909297077919966, 21602.534520685917
22.102333820910125, 21777.935734998882
23.36336377404284, 22016.84728938935
24.69644287561524, 22181.371917006036
26.10545353019456, 22441.986591181376
27.59495841213481, 22632.917529573304
29.306471094223667, 22798.115812203363
