mass, radius
0.3737316806509887, 4836.210766057526
0.39505220461281026, 4914.433713322052
0.4175890149253497, 4993.921872086818
0.44141143027618795, 5075.347136840957
0.4665928552102869, 5158.100030242511
0.49321081784644505, 5242.202199108706
0.5213473489583065, 5326.991825948144
0.5510891726402106, 5411.763388913145
0.5825274401634402, 5500.001506772392
0.6157593713703884, 5588.243536475059
0.650887112414953, 5677.901321390968
0.6880186043466283, 5770.478784592044
0.727268689843819, 5862.307817113448
0.7687576786859982, 5957.127298192509
0.81261389140372, 6051.149802366124
0.8589716256830392, 6149.023694712245
0.9079743782784115, 6246.074937208807
0.9628623814047207, 6326.712267582333
1.0032166862701857, 6433.941471935498
1.0563014197174008, 6502.965721446985
1.1165618165081934, 6603.907725550227
1.180260700948812, 6702.974135308099
1.2475937426958188, 6802.653412599945
1.3187674809625052, 6906.4740464866945
1.3940024505164959, 7008.279909723333
1.473528631324194, 7115.238771001731
1.55759287918857, 7219.195244034527
1.64645144703404, 7330.313909471621
1.7403806091326703, 7438.367444506465
1.8396672516667758, 7551.890209276583
1.9446195685370042, 7662.226333776987
2.0555578006415196, 7779.16558478793
2.17282559259732, 7895.8622494635
2.296783762362448, 8013.2808500331585
2.427812914547551, 8134.533602779652
2.566318324595619, 8254.441852616586
2.712723315274538, 8381.495150329907
2.867483148449804, 8503.952133519399
3.031069649493728, 8633.737622724137
3.2039905290935558, 8761.004460436674
3.3867743757277133, 8894.713026991381
3.5799894795497793, 9022.737854965775
3.7842209134356755, 9165.929815990292
4.000109276972076, 9299.84770215033
4.2466402734219555, 9433.963264917158
4.469541280785214, 9567.146962838202
4.724530687938164, 9700.426253734044
4.994044654986446, 9873.099584697913
5.278953811458021, 10016.063757125488
5.580114408503808, 10165.011668375857
5.89847046345178, 10295.009342782823
6.234983600920211, 10434.7028285242
6.5906951208151465, 10576.291822011983
6.966699241150778, 10721.178126997793
7.364156936053758, 10865.259562175559
7.78428644294873, 11015.518344864295
8.22838836826277, 11163.55540511597
8.714291731101454, 11321.208615843856
9.194042947059186, 11470.04068977253
9.718570021558339, 11627.170602746308
10.273028055847192, 11780.402974063903
10.859123688446635, 11931.059465189175
11.478655424181053, 12085.193820269384
12.133532513978462, 12241.319398298845
12.82577343610839, 12397.870428968345
13.557505931932393, 12558.035397428395
14.330987224152178, 12718.636826137517
15.148601724824506, 12877.985680226388
16.01288011191295, 13027.620129533554
16.926463285095465, 13182.376990085926
17.892174619573318, 13335.548283365102
18.912980117739398, 13492.23108837021
19.992025817962645, 13650.754800165427
21.13263774653848, 13809.368361934352
22.33831855569138, 13973.411715413737
23.61279433123062, 14135.774356505095
24.95998321175967, 14300.023553847643
26.3840256392189, 14469.895466677024
27.889322533188697, 14638.026950392918
29.332186923489534, 14786.79650002702
