"mass","radius"
0.5,1.5465359203517437
0.8275862068965517,1.6998409340158105
1.1551724137931034,1.826457604765892
1.4827586206896552,1.9335839338600636
1.8103448275862069,2.022002637386322
2.1379310344827585,2.106758952140808
2.4655172413793105,2.1821969375014305
2.793103448275862,2.259209379553795
3.1206896551724137,2.32074573636055
3.4482758620689653,2.3808765411376953
3.7758620689655173,2.4397191405296326
4.103448275862069,2.4939027801156044
4.431034482758621,2.544332556426525
4.758620689655173,2.5931664183735847
5.086206896551724,2.6389848813414574
5.413793103448276,2.682921849191189
5.741379310344827,2.728279083967209
6.068965517241379,2.7699321135878563
6.396551724137931,2.8101392090320587
6.724137931034483,2.847750708460808
7.051724137931035,2.8871195018291473
7.379310344827586,2.9241344705224037
7.706896551724138,2.9586267471313477
8.03448275862069,2.994597516953945
8.362068965517242,3.027651123702526
8.689655172413794,3.0558817088603973
9.017241379310345,3.083539605140686
9.344827586206897,3.1084050238132477
9.672413793103448,3.132982775568962
10.0,3.157290369272232
