"mass","radius"
0.5,1.3075720332562923
0.8275862068965517,1.4645940251648426
1.1551724137931034,1.5917716175317764
1.4827586206896552,1.6980693861842155
1.8103448275862069,1.7892055585980415
2.1379310344827585,1.8686478398740292
2.4655172413793105,1.9411963038146496
2.793103448275862,2.0075598731637
3.1206896551724137,2.069450132548809
3.4482758620689653,2.129171881824732
3.7758620689655173,2.1871301904320717
4.103448275862069,2.242447901517153
4.431034482758621,2.2925611585378647
4.758620689655173,2.3363763466477394
5.086206896551724,2.377253845334053
5.413793103448276,2.4156973510980606
5.741379310344827,2.4525619111955166
6.068965517241379,2.4864281341433525
6.396551724137931,2.5189916975796223
6.724137931034483,2.545935455709696
7.051724137931035,2.5633880123496056
7.379310344827586,2.5871364027261734
7.706896551724138,2.612762339413166
8.03448275862069,2.636655941605568
8.362068965517242,2.664687503129244
8.689655172413794,2.6927332393825054
9.017241379310345,2.7211650647222996
9.344827586206897,2.7480132691562176
9.672413793103448,2.779572680592537
10.0,2.8057816065847874
