"mass","radius"
0.5,1.056311558932066
0.8275862068965517,1.2167246639728546
1.1551724137931034,1.3315682485699654
1.4827586206896552,1.4240079931914806
1.8103448275862069,1.501861810684204
2.1379310344827585,1.568303368985653
2.4655172413793105,1.627166047692299
2.793103448275862,1.6806690208613873
3.1206896551724137,1.7289642244577408
3.4482758620689653,1.7732401564717293
3.7758620689655173,1.81498596444726
4.103448275862069,1.853017844259739
4.431034482758621,1.8901156447827816
4.758620689655173,1.9234324805438519
5.086206896551724,1.9557577930390835
5.413793103448276,1.9859589263796806
5.741379310344827,2.015426177531481
6.068965517241379,2.043000888079405
6.396551724137931,2.0689986273646355
6.724137931034483,2.094887923449278
7.051724137931035,2.1192547120153904
7.379310344827586,2.142128124833107
7.706896551724138,2.165084257721901
8.03448275862069,2.186831161379814
8.362068965517242,2.207756843417883
8.689655172413794,2.2277677431702614
9.017241379310345,2.248125560581684
9.344827586206897,2.2662116959691048
9.672413793103448,2.285323403775692
10.0,2.3015084862709045
