"mass","radius"
0.5,0.7773847505450249
0.8275862068965517,0.9075571410357952
1.1551724137931034,1.0030842944979668
1.4827586206896552,1.0803617164492607
1.8103448275862069,1.1449551954865456
2.1379310344827585,1.2016450241208076
2.4655172413793105,1.2516236864030361
2.793103448275862,1.2965867295861244
3.1206896551724137,1.337155532091856
3.4482758620689653,1.375197395682335
3.7758620689655173,1.4100742526352406
4.103448275862069,1.4421607926487923
4.431034482758621,1.4726191759109497
4.758620689655173,1.5012763813138008
5.086206896551724,1.5288054198026657
5.413793103448276,1.5544575452804565
5.741379310344827,1.578357070684433
6.068965517241379,1.602127831429243
6.396551724137931,1.624364946037531
6.724137931034483,1.6456681117415428
7.051724137931035,1.6655799746513367
7.379310344827586,1.6857898235321045
7.706896551724138,1.7047362588346004
8.03448275862069,1.7230114340782166
8.362068965517242,1.7400822788476944
8.689655172413794,1.7571329325437546
9.017241379310345,1.7736291512846947
9.344827586206897,1.7902115359902382
9.672413793103448,1.805705465376377
10.0,1.8207505904138088
