"mass","radius"
0.5,0.9588982444256544
0.8275862068965517,1.1162403225898743
1.1551724137931034,1.2314984016120434
1.4827586206896552,1.3237656652927399
1.8103448275862069,1.4015638269484043
2.1379310344827585,1.4692474901676178
2.4655172413793105,1.5288239531219006
2.793103448275862,1.582839097827673
3.1206896551724137,1.6324811056256294
3.4482758620689653,1.677977629005909
3.7758620689655173,1.7198776453733444
4.103448275862069,1.759645789861679
4.431034482758621,1.7973216250538826
4.758620689655173,1.8315290473401546
5.086206896551724,1.864530760794878
5.413793103448276,1.895881537348032
5.741379310344827,1.925728265196085
6.068965517241379,1.9542625173926353
6.396551724137931,1.981153693050146
6.724137931034483,2.007340081036091
7.051724137931035,2.0329626463353634
7.379310344827586,2.0567630603909492
7.706896551724138,2.0805687829852104
8.03448275862069,2.102631591260433
8.362068965517242,2.124892957508564
8.689655172413794,2.1454840525984764
9.017241379310345,2.1667056903243065
9.344827586206897,2.185664437711239
9.672413793103448,2.205701358616352
10.0,2.2240550071001053
