"mass","radius"
0.5,0.8440447747707367
0.8275862068965517,0.9867327511310577
1.1551724137931034,1.0918025001883507
1.4827586206896552,1.1757050156593323
1.8103448275862069,1.247522234916687
2.1379310344827585,1.3094679191708565
2.4655172413793105,1.3636739999055862
2.793103448275862,1.413676455616951
3.1206896551724137,1.4579431414604187
3.4482758620689653,1.500058650970459
3.7758620689655173,1.5384352281689644
4.103448275862069,1.5742088556289673
4.431034482758621,1.6068803519010544
4.758620689655173,1.6391947120428085
5.086206896551724,1.6689108163118362
5.413793103448276,1.6961997002363205
5.741379310344827,1.7229981422424316
6.068965517241379,1.7494958639144897
6.396551724137931,1.773981124162674
6.724137931034483,1.7974528446793556
7.051724137931035,1.8190147876739502
7.379310344827586,1.841663271188736
7.706896551724138,1.86151984333992
8.03448275862069,1.8826509788632393
8.362068965517242,1.9010131359100342
8.689655172413794,1.9208186119794846
9.017241379310345,1.9378667771816254
9.344827586206897,1.9554190188646317
9.672413793103448,1.9735516905784607
10.0,1.9889880269765854
