"mass","radius"
0.5,1.1398997828364372
0.8275862068965517,1.3171931058168411
1.1551724137931034,1.4449815899133682
1.4827586206896552,1.5484603196382523
1.8103448275862069,1.6337390094995499
2.1379310344827585,1.7084375470876694
2.4655172413793105,1.7750100195407867
2.793103448275862,1.8352569937705994
3.1206896551724137,1.891315519809723
3.4482758620689653,1.9421660006046295
3.7758620689655173,1.989432469010353
4.103448275862069,2.0336867719888687
4.431034482758621,2.075336068868637
4.758620689655173,2.1136230379343033
5.086206896551724,2.152022436261177
5.413793103448276,2.187515750527382
5.741379310344827,2.220194935798645
6.068965517241379,2.2524886429309845
6.396551724137931,2.2833929657936096
6.724137931034483,2.3142587542533875
7.051724137931035,2.3427722230553627
7.379310344827586,2.370243899524212
7.706896551724138,2.3967649787664413
8.03448275862069,2.421114206314087
8.362068965517242,2.4459114968776703
8.689655172413794,2.471261389553547
9.017241379310345,2.4945860132575035
9.344827586206897,2.517234832048416
9.672413793103448,2.5392401665449142
10.0,2.560637019574642
