mass, radius
1.1085731432858208, 1.9610615971076562
1.668585146286571, 2.0921383274654355
2.259708927231808, 2.2087607763094206
2.8663885971492875, 2.3091306219373124
3.5197359339834953, 2.396639383606907
4.173083270817704, 2.4701997032941096
4.857542385596398, 2.534721018943033
5.542001500375093, 2.603043968779316
6.239794234272853, 2.6544058600957454
6.657580966670238, 2.6775478240771142
6.973143285821454, 2.7004391865203417
7.621305326331582, 2.724263019443653
8.310949737434358, 2.7924948252198076
9.005779444861213, 2.836453629185316
9.71720210052513, 2.8792656323819803
10.367591897974494, 2.9105995214799347
11.042760690172544, 2.940773550297259
