NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR
Kepler-37 b,3.0468220432861304,3.5310696796223757,3.5310696796223757,3.5310696796223757,0.30272990978504566,0.052952682140449354,0.07293470790987912,0.06294369502516423
Kepler-37 c,3.4291458923370493,4.104093030029125,4.104093030029125,4.104093030029125,0.7397927282419529,0.06725388438563208,0.07846286511657075,0.07285837475110142
Kepler-68 c,4.812379130260117,2.5057615094908106,3.60995176257909,3.05785663603495,0.9521491099857324,0.036966994271021146,0.04196238862357129,0.03946469144729622
Kepler-78 b,1.8592271768605,0.38137993371497436,0.24789695691473337,0.31463844531485385,1.1589637716561358,0.1898352976591775,0.13986566156065283,0.16485047960991517
Kepler-102 d,1.8274105558903284,0.9137036888621071,0.9137036888621071,0.9137036888621071,1.1798909386807983,0.039993643247989215,0.039993643247989215,0.039993643247989215
Kepler-10 b,4.539183971075625,1.2484821728432258,1.2484821728432258,1.2484821728432258,1.4159969087972906,0.03299991181072733,0.035999883413555755,0.03449989761214154
Kepler-406 b,6.3497216430651795,1.3999503916842422,1.3999503916842422,1.3999503916842422,1.429996925730233,0.029999716028284284,0.029999716028284284,0.029999716028284284
Kepler-99 b,6.149751431153962,1.2999335040674904,1.2999335040674904,1.2999335040674904,1.4800001887709504,0.07999984055439709,0.07999984055439709,0.07999984055439709
Kepler-36 b,4.461477809581199,0.3308502706638546,0.2706952137189917,0.30077274219142314,1.484674333735752,0.03496876927611671,0.03496876927611671,0.03496876927611671
Kepler-93 b,2.5898907447022195,1.9999150562418397,1.9999150562418397,1.9999150562418397,1.502003417945783,0.030040068358915664,0.030040068358915664,0.030040068358915664
CoRoT-7 b,4.449432560008034,0.9852314954303504,0.9852314954303504,0.9852314954303504,1.6139699264671297,0.10214744140104419,0.10214744140104419,0.10214744140104419
Kepler-89 b,9.132396766094205,3.908000180777343,3.908000180777343,3.908000180777343,1.7463591978802464,0.16365111867170473,0.16365111867170473,0.16365111867170473
Kepler-11 b,1.8999204157878875,1.3999503916842422,0.99994640453952,1.199948398111881,1.7979205092425643,0.030264247973534438,0.05044041328922406,0.040352330631379246
Kepler-20 b,8.474452817113589,2.1221060088380033,2.1221060088380033,2.1221060088380033,1.9082953425001177,0.11989237879619323,0.2098130640159295,0.16485272140606136
Kepler-48 b,3.939845405242543,2.0999096966957915,2.0999096966957915,2.0999096966957915,1.9204346686317242,0.10215057991564885,0.10215057991564885,0.10215057991564885
Kepler-98 b,3.549852641357839,1.5999206035954603,1.5999206035954603,1.5999206035954603,1.9899976030479296,0.2199997857042066,0.2199997857042066,0.2199997857042066
Kepler-37 d,1.8353210113487997,5.5065859546048,5.5065859546048,5.5065859546048,1.9951985701070851,0.11208980730938681,0.11208980730938681,0.11208980730938681
Kepler-18 b,6.991965451441196,3.495982725720598,3.495982725720598,3.495982725720598,2.0000184318213887,0.09998410811997303,0.09998410811997303,0.09998410811997303
55 Cnc e,8.379934156874562,0.39241452646379427,0.39241452646379427,0.39241452646379427,2.079994509336636,0.1599992327495649,0.1599992327495649,0.1599992327495649
Kepler-102 e,8.92962976800241,1.9999245907401828,1.9999245907401828,1.9999245907401828,2.2197929170129034,0.06998887568398113,0.06998887568398113,0.06998887568398113
Kepler-68 b,8.321392337049312,2.205666352314954,2.4061832087978305,2.305924780556392,2.307940341481005,0.05994641357771123,0.0899196764114705,0.07493304499459087
HD 97658 b,7.862465150145625,0.7300247564527468,0.7300247564527468,0.7300247564527468,2.33999802637149,0.18010926507894198,0.1498898530283313,0.16499955905363667
Kepler-11 f,2.297912623782264,2.199656440192829,1.2003456688761673,1.7000010545344981,2.4871383164265217,0.03995396345620169,0.0699193800034493,0.0549366717298255
GJ 1214 b,6.467790514211107,0.9958910645776842,0.9958910645776842,0.9958910645776842,2.6778254966212507,0.1299120866715793,0.1299120866715793,0.1299120866715793
Kepler-25 b,7.104853911820828,0.2164334301998594,0.2164334301998594,0.2164334301998594,2.7099952713190447,0.04999990034649817,0.04999990034649817,0.04999990034649817
Kepler-289 d,3.813799337149744,0.953449834287436,0.953449834287436,0.953449834287436,2.734991298349038,0.1681347109640802,0.1681347109640802,0.1681347109640802
Kepler-20 d,7.52796316661645,7.218473350406748,7.218473350406748,7.218473350406748,2.7475453567676893,0.16984856411784074,0.2997315074395196,0.23479003577868016
