"pressure","temperature"
5.0e7,900.0
1.0219865073473842e8,1095.1690714238077
1.54901329845016e8,1194.8805018585674
2.0798748080714e8,1275.9014346456615
2.6139444534075877e8,1336.3344094186227
3.150854656701637e8,1385.8094261306424
3.6903339083845615e8,1427.6991145053923
4.232181194369824e8,1464.1030042659297
4.776240712866672e8,1496.3902201149026
5.3223864116532624e8,1525.4514819685385
5.870514718292288e8,1551.9174086015319
6.420537428250358e8,1576.2293152989175
6.972378444126947e8,1598.7168001614348
7.525971352447263e8,1619.630489764887
8.08125754613122e8,1639.1646250725125
8.638184778152815e8,1657.4728341638086
9.196706430889399e8,1674.6849985663246
9.756780000613594e8,1690.9072103508067
1.0318366697024311e9,1706.2518585570851
1.088143143107349e9,1720.8518657266388
1.1445942142288756e9,1734.7853357739925
1.2011868865833116e9,1748.1051475700904
1.2579184642611852e9,1760.8649371748222
1.3147863899419227e9,1773.107268215849
1.3717883357755868e9,1784.8746334918774
1.4289220975775442e9,1796.2025130452428
1.486185655452407e9,1807.1272517081964
1.5435770833668754e9,1817.6747213903056
1.601094617467683e9,1827.878984059589
1.6587365507876742e9,1837.7550099605623
1.7165013286053734e9,1847.3370621993936
1.7743874502905245e9,1856.6352149752593
1.832393493792541e9,1865.6732677431864
1.8905181389736884e9,1874.4715600119016
1.9487601022419662e9,1883.0359623286918
2.0071181961656423e9,1891.390681231468
2.065591283252321e9,1899.5443961460362
2.124178249077926e9,1907.5037776441472
2.182878072330608e9,1915.2894161319343
2.2416897674951105e9,1922.9062633224296
2.300612363822176e9,1930.3585235934397
2.3596449648009157e9,1937.6632864726282
2.4187867096558433e9,1944.8259926336686
2.478036753520667e9,1951.847536302738
2.537394283788277e9,1958.7394658576352
2.5968585469787717e9,1965.5113279343846
2.656428808705334e9,1972.1633392261235
2.716104331870859e9,1978.6984491384092
2.7758844410867596e9,1985.128356887516
2.8357684870803137e9,1991.4564243904897
2.8957558318470163e9,1997.682817104472
2.9558458361617904e9,2003.8107506127985
3.016037916450714e9,2009.8497033356591
3.07633150980634e9,2015.8018731647826
3.136726061454176e9,2021.667363944343
3.197221014551017e9,2027.4476592755993
3.257815851434326e9,2033.1502591145197
3.318510080897197e9,2038.778539432976
3.3793032218915e9,2044.332572677264
3.440194791196105e9,2049.812437644805
3.5011843977739115e9,2055.2156977961167
3.5622719104664927e9,2060.5466496190106
3.623456888306251e9,2065.820516423634
3.6847386481695232e9,2071.037477691025
3.746116676488855e9,2076.190666908476
3.8075908383317275e9,2081.2651052800147
3.86916210828659e9,2086.239032715771
3.9308318835293584e9,2091.10712023782
3.992601640320567e9,2095.8655188993093
4.054472873872302e9,2100.5103470377894
4.1164470440889215e9,2105.0558724256275
4.1785244530377474e9,2109.554619608933
4.240704944614057e9,2114.0186175401145
4.302988158498771e9,2118.4479053447317
4.3653737338021555e9,2122.8425243271254
4.42786130907624e9,2127.202517927798
4.490450532931131e9,2131.5299261453097
4.553141095437354e9,2135.8274658242663
4.615932701515235e9,2140.095390374607
4.678825057302658e9,2144.333807590329
4.741817867446315e9,2148.542801266761
4.804910835561502e9,2152.7223885138037
4.868103675702371e9,2156.8629698139407
4.931396177716066e9,2160.9458448362407
4.994788158352405e9,2164.967928391137
5.058279440474509e9,2168.929156884655
5.121869843826764e9,2172.829474764795
5.185559185083024e9,2176.6688343873925
5.249347277778109e9,2180.4494343374354
5.31323395755435e9,2184.208466536453
5.377219104999093e9,2187.976500946945
5.441302617893451e9,2191.7535530199343
5.505484394460368e9,2195.539638176807
5.569764333366463e9,2199.3347718089612
5.634142333724011e9,2203.1389692774683
5.698618295092877e9,2206.9522459127165
5.76319207916535e9,2210.7580870873417
5.827863435114997e9,2214.5392034680744
5.892632071096811e9,2218.2953850574377
5.957497692846111e9,2222.0267499983947
6.022460005187379e9,2225.733352614955
6.087518712201234e9,2229.4152237586454
6.152673517379784e9,2233.072395245903
6.217924123633511e9,2236.7052904628326
6.283270261864913e9,2240.316126336919
6.3487116840596695e9,2243.905934630271
6.414248150668054e9,2247.4747286324487
6.479879421413524e9,2251.0225224355645
6.545605255297711e9,2254.5493309230983
6.611425410575626e9,2258.0551949714154
6.677339644171574e9,2261.5402061507843
6.743347712067808e9,2265.0045041263916
6.809449385295798e9,2268.449743986782
6.875644461674292e9,2271.8772515044866
6.941932748520745e9,2275.2870288591234
7.0083140523835745e9,2278.679078857516
7.074788179045338e9,2282.053404926739
7.141354933525987e9,2285.410011107194
7.208014120086097e9,2288.74890204571
7.274765542230052e9,2292.0700829886628
7.341609002709223e9,2295.373799766854
7.408544324632022e9,2298.6616424394574
7.475571349210457e9,2301.9345034434864
7.542689924584679e9,2305.192387822425
7.609899898064736e9,2308.4352911985147
7.677201116195633e9,2311.66320967315
7.744593424759116e9,2314.876139822654
7.812076668775388e9,2318.0740786940496
7.879650692504893e9,2321.2570238008475
7.947315339450086e9,2324.4249731188324
8.015070456172735e9,2327.575181030949
8.082915906995876e9,2330.7033431631035
8.150851562168227e9,2333.808930969974
8.218877292382899e9,2336.891934411714
8.286992967055683e9,2339.9523823227883
8.3551984539946785e9,2342.990315448563
8.423493619702208e9,2346.0057293557134
8.491878329527269e9,2348.998616693566
8.5603524476953e9,2351.9689710650755
8.628915837313183e9,2354.916787016921
8.697568362439995e9,2357.8449395399202
8.766309910752419e9,2360.7606590464557
8.835140378746658e9,2363.6653896390208
8.904059665985779e9,2366.5591240909657
8.973067671341644e9,2369.441855449201
9.042164292995007e9,2372.3135770324625
9.111349428435534e9,2375.174282429573
9.180622974461943e9,2378.023965497704
9.249984827136856e9,2380.8626420352057
9.319434881422201e9,2383.690354638001
9.388973031433636e9,2386.507106413699
9.45859917588575e9,2389.3085894243372
9.528313248524244e9,2392.0865651099666
9.598115195689789e9,2394.839699286579
9.668004966694214e9,2397.567964130446
9.737982509615355e9,2400.2713329181774
9.808047771301638e9,2402.9497800171475
9.878200697376501e9,2405.603280875851
9.948441232243057e9,2408.231812014223
1.0018769319088703e10,2410.8353510139054
1.0089184899889816e10,2413.41387650847
1.0159687915416431e10,2415.967368173601
1.0230278305237017e10,2418.4959770942087
1.0300956017796724e10,2421.0090325752367
1.0371721025080778e10,2423.515382537433
1.0442573307024632e10,2426.015052671361
1.0513512842954643e10,2428.5080367589603
1.0584539611682507e10,2430.9943250880056
1.0655653591526472e10,2433.4739080593044
1.072685476031007e10,2435.946776186393
1.079814309536078e10,2438.412920095229
1.0869518573508781e10,2440.872330523881
1.094098117108558e10,2443.324998322213
1.1012530863922745e10,2445.7709144515707
1.108416762735056e10,2448.210069984461
1.115589143631785e10,2450.6426455598253
1.122770228384971e10,2453.0693584560486
1.1299600169944761e10,2455.4903776275205
1.1371585097835228e10,2457.9056931928744
1.1443657070340702e10,2460.3152953558083
1.1515816089866713e10,2462.7191744049346
1.1588062158403227e10,2465.117324557931
1.1660395277339466e10,2467.5097690073453
1.1732815447425512e10,2469.8965193638087
1.180532266890625e10,2472.277566024845
1.1877916941605991e10,2474.652899470406
1.1950598264927046e10,2477.022510262731
1.2023366637848177e10,2479.3863890462053
1.2096222058923136e10,2481.7446574127293
1.2169164519149725e10,2484.0991697501786
1.2242193997187073e10,2486.4513909135876
1.2315310466854372e10,2488.801316987832
1.2388513901604116e10,2491.148944078631
1.246180427452087e10,2493.4942683125164
1.253518155831988e10,2495.837285836795
1.2608645725345842e10,2498.17799281952
1.2682196747571585e10,2500.516385449455
1.2755834596596788e10,2502.852459936043
1.2829559243646624e10,2505.1862125093708
1.2903370659570461e10,2507.5176394201358
1.2977268814834995e10,2509.846746935494
1.3051253679234447e10,2512.1735667565813
1.3125325222065615e10,2514.498103637958
1.319948341508385e10,2516.819246520624
1.3273728244083025e10,2519.135231579
1.3348059699861063e10,2521.445833947214
1.3422477774043896e10,2523.7510455349534
1.3496982457812956e10,2526.05085832371
1.3571573741903616e10,2528.345264366648
1.3646251616603535e10,2530.6342557884695
1.3721016071751085e10,2532.917824785283
1.3795867096733725e10,2535.195963624462
1.3870804680486444e10,2537.4686646445134
1.3945828811490042e10,2539.7359202549355
1.4020939477769573e10,2541.9977229360775
1.4096136666892681e10,2544.254065239
1.4171420365968004e10,2546.5049397853304
1.4246790561643475e10,2548.7503392671206
1.4322247240104696e10,2550.990404664597
1.4397790404161861e10,2553.2257363992417
1.447342006342198e10,2555.4565118327923
1.4549136230428993e10,2557.6827487148253
1.4624938917265894e10,2559.904440183006
1.4700828135640146e10,2562.121578306018
1.4776803896889502e10,2564.3341552038996
1.4852866211980371e10,2566.5421630480014
1.492901509150613e10,2568.7455940609325
1.5005250545685472e10,2570.944440516517
1.5081572584360672e10,2573.138694739737
1.5157981216995905e10,2575.328349106686
1.5234476452675575e10,2577.5133960445132
1.5311058300102581e10,2579.6938280313734
1.5387726767596577e10,2581.8696375963677
1.5464481863092281e10,2584.040817319491
1.554132359413772e10,2586.2068146495576
1.56182519752119e10,2588.361431400896
